Element,Index,FYM,SAM,SAF,FAF,Reference
E_Cranium,GRE,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Atlas,GRE,3.7,0.4,1.4,3.3,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Axis,GRE,1.6,0.7,2.1,1.6,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.3.7._vert,GRE,2.4,0.4,2.7,12.1,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.1.7._vert,GRE,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Thoracic_vert,GRE,9.9,14.2,25.4,38.3,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Lumbar_vert,GRE,43.7,21.5,16.7,26.7,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Caudal_vert,GRE,5.8,0.6,4.6,5.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_vert,GRE,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Sacrum,GRE,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Pelvis,GRE,60.7,100,98.1,97.9,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Rib,GRE,14.7,34.2,52.4,100,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Scapula,GRE,26.2,38.9,35.3,59.7,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Humerus,GRE,84.9,118,104.7,166.8,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Radius_ulna,GRE,97.9,71,85.2,111,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Carpal_units,GRE,48,21.1,30.4,43.6,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_carpals,GRE,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metacarpal,GRE,91.3,27.3,47.1,76,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Innominate,GRE,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Femur,GRE,200,147.4,200,184,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tibia,GRE,176.5,95.1,127,105.3,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tarsal_units,GRE,83.6,31.9,38,36.6,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_tarsals,GRE,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metatarsal,GRE,123.9,42.8,51.7,63.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_phalanges,GRE,47.5,12.8,19.4,32.7,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_metapodial,GRE,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_OlsChub_CarpTars,GRE,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cranium,MAR,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Atlas,MAR,0,0,0,0,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Axis,MAR,0,0,0,0,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.3.7._vert,MAR,0,0,0,0,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.1.7._vert,MAR,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Thoracic_vert,MAR,0,0,0,0,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Lumbar_vert,MAR,0,0,0,0,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Caudal_vert,MAR,0,0,0,0,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_vert,MAR,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Sacrum,MAR,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Pelvis,MAR,8.6,5.2,3.9,7.8,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Rib,MAR,0,0,0,0,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Scapula,MAR,35.2,47.5,32.2,31.1,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Humerus,MAR,136.3,164.3,132.2,127.1,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Radius_ulna,MAR,115,111,122.9,112.9,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Carpal_units,MAR,34.5,32.9,35.3,37,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_carpals,MAR,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metacarpal,MAR,44.1,41.8,44.7,50.8,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Innominate,MAR,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Femur,MAR,161.9,195,192.9,196.9,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tibia,MAR,184,179,168.3,176.8,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tarsal_units,MAR,54,49.1,52.6,55.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_tarsals,MAR,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metatarsal,MAR,62.7,55,63.1,69.8,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_phalanges,MAR,12.2,11.45,11.5,13.95,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_metapodial,MAR,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_OlsChub_CarpTars,MAR,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cranium,PRO,9,11.1,12.7,9.6,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Atlas,PRO,5.5,7.2,5.2,7.8,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Axis,PRO,6.7,8.8,6.4,9.5,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.3.7._vert,PRO,48.7,64.1,46.5,69.4,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.1.7._vert,PRO,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Thoracic_vert,PRO,62.4,60.5,62.7,58.3,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Lumbar_vert,PRO,58,52.7,63,59,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Caudal_vert,PRO,1,0.7,1,0.9,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_vert,PRO,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Sacrum,PRO,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Pelvis,PRO,51.3,47.3,57.4,43.1,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Rib,PRO,89.1,100,98.7,100,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Scapula,PRO,45.6,45.5,37.7,40.6,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Humerus,PRO,78.7,79.5,79.1,70.6,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Radius_ulna,PRO,36.5,34.8,32.8,31,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Carpal_units,PRO,7.7,7,6.7,6.3,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_carpals,PRO,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metacarpal,PRO,5.7,5.3,5.1,4.7,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Innominate,PRO,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Femur,PRO,200,162.4,200,168.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tibia,PRO,89.2,73.8,87.7,78.5,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tarsal_units,PRO,16.8,14,16.3,15.1,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_tarsals,PRO,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metatarsal,PRO,12.7,10.5,12.2,11.4,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_phalanges,PRO,1.55,1.35,1.4,1.35,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_metapodial,PRO,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_OlsChub_CarpTars,PRO,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cranium,SF_,10.3,19.4,12.4,17.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Atlas,SF_,3.8,4.8,3.8,3.9,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Axis,SF_,4.5,5.9,4.7,4.7,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.3.7._vert,SF_,31.8,42.5,32.7,33.9,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.1.7._vert,SF_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Thoracic_vert,SF_,82.6,86.6,77.3,73.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Lumbar_vert,SF_,100,100,100,100,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Caudal_vert,SF_,0.7,0.9,2.5,2.4,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_vert,SF_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Sacrum,SF_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Pelvis,SF_,48.2,54,53.3,46.7,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Rib,SF_,39.5,42,51.8,50.7,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Scapula,SF_,14,12.2,7.8,10,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
